0	1	date
39.9697537	-82.7496174	11/12/2020
41.0415675	-81.9597809	11/12/2020
41.0415675	-81.9597809	11/12/2020
40.175775	-83.580513	11/12/2020
41.3129972	-81.9468279	11/11/2020
41.3160515	-81.9271743	11/11/2020
41.49932	-81.6943605	11/11/2020
41.4066916	-82.0078176	11/11/2020
41.49932	-81.6943605	11/11/2020
41.4857101	-81.6966306	11/11/2020
41.436373	-81.7901858	11/11/2020
41.0814425	-80.5995589	11/10/2020
41.4662595	-81.7022118	11/10/2020
41.0415675	-81.9597809	11/10/2020
41.569648	-81.552505	11/10/2020
41.288101	-82.969655	11/9/2020
41.4493786	-81.5532449	11/9/2020
41.4567222	-82.0105198	11/8/2020
41.2993324	-82.0510123	11/6/2020
41.3112671	-81.7334031	11/6/2020
40.1176654	-82.9225911	11/5/2020
40.780934	-84.1274272	11/5/2020
41.3632692	-82.0901606	11/5/2020
41.3894905	-82.0190321	11/4/2020
41.4273333	-82.1666892	11/4/2020
41.4899862	-81.6008511	11/4/2020
41.2428969	-82.6150983	11/4/2020
41.4515747	-81.635804	11/4/2020
40.4172871	-82.907123	11/4/2020
41.49932	-81.6943605	11/4/2020
41.49932	-81.6943605	11/4/2020
41.4616658	-81.7516976	11/4/2020
41.4757589	-81.5151532	11/3/2020
41.4276761	-81.7248102	11/3/2020
41.4616658	-81.7516976	11/3/2020
41.5035155	-81.6869213	11/3/2020
41.0364521	-81.5541579	11/3/2020
41.4808037	-81.7918189	11/3/2020
40.4172871	-82.907123	11/3/2020
39.9073642	-83.7878572	11/3/2020
39.9242266	-83.8088171	11/3/2020
41.3888532	-82.0042128	11/3/2020
41.3894905	-82.0190321	11/3/2020
41.3888532	-82.0042128	11/3/2020
41.3894905	-82.0190321	11/3/2020
41.3888532	-82.0042128	11/3/2020
41.3894905	-82.0190321	11/3/2020
41.3888532	-82.0042128	11/3/2020
41.3888532	-82.0042128	11/3/2020
41.4713842	-81.7282731	11/3/2020
41.2993324	-82.0510123	11/3/2020
41.4642779	-81.7968993	11/2/2020
41.4191905	-82.1165198	11/2/2020
41.4191905	-82.1165198	11/2/2020
41.4273333	-82.1666892	11/2/2020
41.4256157	-82.1643095	11/2/2020
41.4273333	-82.1666892	11/2/2020
41.4273333	-82.1666892	11/2/2020
41.0863225	-81.5603282	11/2/2020
41.4191905	-82.1165198	11/2/2020
41.4273333	-82.1666892	11/2/2020
41.4191905	-82.1165198	11/2/2020
41.4191905	-82.1165198	11/2/2020
41.4273333	-82.1666892	11/2/2020
41.4256157	-82.1643095	11/2/2020
41.4191905	-82.1165198	11/2/2020
41.4256157	-82.1643095	11/2/2020
41.5204059	-81.6028742	11/2/2020
